Kernel,C,Degree,Gamma,Coef0,Shrinking,Probability,Tol,MaxIter,Accuracy
linear,6.549863752303643,3.285781291582041,0.3345686506346644,0.8341173423255026,0.3327916032795297,0.18769271844401603,0.001210191675909313,701.1064230594394,0.59375
linear,6.838821439366493,2.7578967408058483,0.23103591600008463,0.5396516534703896,0.9122997231913024,0.39646472676633937,0.002718662382497803,843.8481733983233,0.59375
linear,6.408795921659237,1.6770942585717266,0.18289293270902338,0.7374816687081716,0.47835052792857613,0.08941565592040324,0.0008291524075821583,764.8918218220415,0.59375
linear,9.64111947709673,1.9294972090132747,0.8435751899629053,0.8351992446551524,0.2669022968052136,0.1084466488831709,0.006418807338466312,747.7743572522345,0.59375
linear,7.100751623850207,1.5159351260936695,0.49537484845142854,0.3436202707396958,0.1943989049435213,0.5211203330808213,0.003044110960098329,764.2280550416551,0.59375
linear,7.598026286843415,4.060973586122458,0.17683747099531957,0.4607004730067593,0.8874623407641304,0.7995815444838607,0.00298397163190599,685.243919899212,0.59375
linear,9.130337889836591,2.1766682293215367,0.031925950452137024,0.5856833809329224,0.5745000122544897,0.9494014975665149,0.0030035123756405385,665.0062939173215,0.59375
linear,3.3646451011870964,4.9358628630514865,0.4311159652477637,0.4906719119581795,0.22171571038708582,0.49453558339156123,0.0029081624563956137,387.81867777571966,0.609375
linear,8.119814444373294,2.4808965159316427,0.4826157492011179,0.8928757952271612,0.4577592029670843,0.7134174329904619,0.009581229786748326,903.6041948643764,0.59375
linear,8.866033291731426,1.7736758973635078,0.8362208414424608,0.46253665229483,0.8053885185277446,0.6719564079640662,0.0001911697861273796,897.7259638850237,0.59375
linear,6.244172528454977,2.1434271023606626,0.15621627145021766,0.8070205346352243,0.3582180464142495,0.7823398472615478,0.005777127722936045,890.5673808073882,0.59375
linear,2.3563831968267794,3.746397137607801,0.7614243694684889,0.331314234773714,0.7994263100637666,0.6588990649011287,0.0018963792256918171,879.7388174464961,0.59375
linear,7.219075089339223,4.635113038042004,0.7845031984376485,0.9808596318006192,0.317729034170636,0.4550829068896304,0.006389005923221093,893.1060310698297,0.59375
linear,5.896324540199301,2.079623114508539,0.5848662337719888,0.0403580956649916,0.37637562136604996,0.06275181302663191,0.001212616895920944,65.834460974779,0.53125
linear,4.205705695071605,2.8889365665657563,0.0195523236785115,0.6748807191130032,0.007389096728895872,0.2509361896170623,0.004426153994078581,928.5858351952542,0.59375
linear,8.520984204255408,1.5327524094065037,0.07002820351984135,0.9336373047981618,0.9148823229159433,0.8442387259511593,0.007905030757469005,834.867852470832,0.59375
linear,8.38012840118064,1.1592378804993646,0.17691908513666768,0.8177477243533732,0.9765970065258336,0.0009066702152890072,0.009993641032311672,44.53833587615365,0.515625
linear,5.5997497918686605,1.5446970051422815,0.9115946136697168,0.1479855800997535,0.7223078056103569,0.5847623337664664,0.005996512849300179,917.8236035006587,0.59375
